,location,amount,lat,lon
4632,1400 SALT SPRINGS RD,2330,43.047364,-76.08885
4673,200 PROSPECT AVE,2325,43.054776,-76.148399
4730,800 SUMNER AVE,2325,43.036339,-76.125755
4774,800 LIVINGSTON AVE,2270,43.036276,-76.127018
4851,200 EUCLID AVE,2210,43.0361204,-76.1293797
4938,700 STATE ST S,2035,0.0,0.0
4979,400 SALINA ST S,2020,43.0466087,-76.1527955
5047,1000 MCBRIDE ST S,1980,43.0415451,-76.1442307
5082,200 WARREN ST S,1975,43.049428,-76.15086
5148,200 DORCHESTER AVE,1960,43.069453,-76.125109
5184,400 LAUREL ST E,1900,43.057369,-76.148783
5225,700 LANCASTER AVE,1875,43.03820535,-76.1235476067711
5258,700 FAYETTE ST E,1865,43.04846,-76.141996
5297,800 MARYLAND AVE,1855,43.03650915,-76.12054507283808
5332,100 REDFIELD PL,1815,43.037424,-76.123079
5371,200 MADISON ST,1790,43.045396,-76.148647
5407,200 WATER ST E,1750,43.050425,-76.150598
5456,900 LANCASTER AVE,1720,43.0341179,-76.12323248867946
5487,400 GENESEE ST E,1710,43.047958,-76.147246
5536,300 JEFFERSON ST W,1700,43.04755,-76.155721
5579,400 BOYDEN ST,1700,43.0610818,-76.1219148
5612,500 MONTGOMERY ST,1685,43.0380871,-76.1486963
5655,200 GENESEE ST W,1680,43.0515633,-76.1536655
5705,100 ASHWORTH PL,1670,43.047635,-76.134138
5736,100 WAYNE ST,1645,43.0541216,-76.1421976
5772,700 SUMNER AVE,1640,43.037936650000006,-76.12608987597199
5805,1100 MADISON ST,1635,43.045212,-76.130468
5834,100 WASHINGTON ST E,1605,43.0493828,-76.1518326
5887,300 GREEN ST,1600,43.055433,-76.137463
5923,200 SALINA ST S,1595,43.049465,-76.152317
5977,700 MARYLAND AVE,1575,43.038331,-76.1207114
6005,700 EUCLID AVE,1555,43.0364421,-76.1229386
6063,600 WILLIS AVE,1525,43.051303,-76.191303
6090,100 JEFFERSON ST E,1500,43.046948,-76.151286
6145,900 MCBRIDE ST S,1490,43.0425427,-76.1441895
6174,300 TENNYSON AVE,1465,43.0466657,-76.1832862
6199,400 PROSPECT AVE,1465,43.057007,-76.150178
6245,800 CROUSE AVE S,1465,43.04007083343953,-76.13670371296793
6299,600 CROUSE AVE S,1450,43.044079,-76.136703
6358,100 MADISON ST,1450,43.04510965,-76.15038587478017
6419,100 WARREN ST S,1435,43.050764,-76.150873
6471,100 WALTON ST,1430,43.048044,-76.153734
6524,400 ULSTER ST,1420,43.048615,-76.184425
6554,200 ASH ST,1405,43.059282,-76.151955
6587,401 MONTGOMERY ST,1385,43.0466396,-76.1483142
6635,100 CLARENDON ST,1385,43.037894,-76.128155
6675,300 EUCLID AVE,1385,43.0361102,-76.1278732
6729,100 BANK ALLEY,1370,43.049448,-76.151561
6767,700 TOWNSEND ST N,1350,43.04535280830268,-76.14533066110654
6802,200 FAYETTE ST W,1335,43.048774,-76.153734
6833,300 TURTLE ST,1325,43.0681552,-76.1602586
6858,100 OSTROM AVE,1310,43.0460926,-76.12928172643004
6881,800 MADISON ST,1285,43.045278,-76.136414
6910,300 OTISCO ST,1280,43.0460851,-76.1616672
6936,600 PARK AVE,1275,43.0745999,-76.0792434
6961,500 CLINTON ST S,1275,43.0467126,-76.1541733
7012,100 JUDSON ST,1275,43.0406743,-76.1218189
7035,100 BURNET AVE,1265,43.052202,-76.147976
7061,100 CLIFTON PL,1250,43.067663,-76.117057
7083,100 JEFFERSON ST W,1250,43.047121,-76.152397
7121,300 WHITTIER AVE,1245,43.0452498,-76.1824396
7144,600 TOWNSEND ST N,1245,43.0564503,-76.1480559
7171,700 ACKERMAN AVE,1240,43.0379742,-76.1248662
7194,500 WARREN ST S,1220,43.0451138,-76.1511173
7233,100 FORDHAM RD,1210,43.071434,-76.123253
7260,200 TENNYSON AVE,1205,43.047339,-76.181346
7280,400 CROUSE AVE S,1200,43.046742,-76.136672
7329,100 THORNDON PARK,1200,0.0,0.0
7378,300 CLINTON ST S,1190,43.048568,-76.153679
7422,1200 MADISON ST,1180,43.045221,-76.128835
7451,200 WOODBINE AVE,1180,43.066052,-76.10994
7473,200 HAWLEY AVE,1135,43.0531245,-76.1436109
7497,100 BELLE AVE,1135,43.0116948,-76.1425998
7520,100 JOHN ST,1115,43.061265,-76.149216
7545,800 UNIVERSITY AVE,1100,43.0384987,-76.1390041
7562,200 WHITTIER AVE,1095,43.045955,-76.180368
7582,100 GREEN ST,1095,43.053566,-76.141259
7602,300 FRANKLIN ST S,1095,43.048579,-76.155638
7628,200 GENESEE PK DR,1090,43.0482071,-76.1096112
7652, CITY LOT 21,1085,43.0481221,-76.1474244
7698,200 LEXINGTON AVE,1085,43.047029,-76.121232
7727,100 ELDORADO ST,1080,43.063417,-76.122402
7745,100 OLIVE ST,1080,43.0567557,-76.1933925
7769,900 HARRISON ST,1070,43.044117,-76.136422
7804,100 WOODBINE AVE,1060,43.0684852,-76.1102028
7825,511 STATE ST S,1050,0.0,0.0
7865,100 BRYANT AVE,1045,43.047359,-76.179027
7884,200 CLINTON ST N,1045,43.051417,-76.153402
7926,100 HERBST AVE,1040,43.058963,-76.124309
7948,300 FAYETTE ST W,1035,43.04900685,-76.15629208375377
7990,300 WASHINGTON ST W,1035,43.0497,-76.15569
8028,100 COMSTOCK PL,1000,43.046212,-76.130566
8047,500 COMSTOCK AVE,1000,43.041428,-76.130383
8089,300 ROOSEVELT AVE,1000,43.0334904,-76.1176299
